,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
889,Talking Heads,Once In A Lifetime,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,audio_features,38Ngied9rBORlAbLYNCl4k,spotify:track:38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/audio-analysis/38Ngied9rBORlAbLYNCl4k,259907,4
890,Aretha Franklin,(You Make Me Feel Like A) Natural Woman,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,5K09WxKdlkroDyEVyOSySy,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3
891,Chef'Special,Afraid Of The Dark,0.728,0.619,6,-6.647,0,0.0336,0.0171,0.000214,0.405,0.597,120.025,audio_features,2vSLSJH9lHKne3zUKYBVPI,spotify:track:2vSLSJH9lHKne3zUKYBVPI,https://api.spotify.com/v1/tracks/2vSLSJH9lHKne3zUKYBVPI,https://api.spotify.com/v1/audio-analysis/2vSLSJH9lHKne3zUKYBVPI,188663,4
892,Yes,Owner Of A Lonely Heart,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,audio_features,0GTK6TesV108Jj5D3MHsYb,spotify:track:0GTK6TesV108Jj5D3MHsYb,https://api.spotify.com/v1/tracks/0GTK6TesV108Jj5D3MHsYb,https://api.spotify.com/v1/audio-analysis/0GTK6TesV108Jj5D3MHsYb,268507,4
893,De Kast,In Nije Dei,0.341,0.73,9,-11.696,1,0.0751,0.195,1.67e-06,0.116,0.35,154.0,audio_features,0krr7lc634BsFKN5PmUwuh,spotify:track:0krr7lc634BsFKN5PmUwuh,https://api.spotify.com/v1/tracks/0krr7lc634BsFKN5PmUwuh,https://api.spotify.com/v1/audio-analysis/0krr7lc634BsFKN5PmUwuh,274597,4
894,Ram Jam,Black Betty (Albumversie),0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,audio_features,6kooDsorCpWVMGc994XjWN,spotify:track:6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/tracks/6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/audio-analysis/6kooDsorCpWVMGc994XjWN,238973,4
895,Bryan Adams,Heaven,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,audio_features,7Ewz6bJ97vUqk5HdkvguFQ,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/tracks/7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/audio-analysis/7Ewz6bJ97vUqk5HdkvguFQ,243360,4
896,The Pogues,Dirty Old Town,0.511,0.464,7,-10.765,1,0.0383,0.256,4.2e-06,0.132,0.289,123.412,audio_features,0qH487xSz8Z6Xk4kyOQkbG,spotify:track:0qH487xSz8Z6Xk4kyOQkbG,https://api.spotify.com/v1/tracks/0qH487xSz8Z6Xk4kyOQkbG,https://api.spotify.com/v1/audio-analysis/0qH487xSz8Z6Xk4kyOQkbG,225426,4
897,Within Temptation,Stand My Ground,0.271,0.866,5,-4.072,0,0.0578,0.0489,0.000762,0.116,0.127,175.665,audio_features,7Chqf4yGnQlLWAWic9b0ET,spotify:track:7Chqf4yGnQlLWAWic9b0ET,https://api.spotify.com/v1/tracks/7Chqf4yGnQlLWAWic9b0ET,https://api.spotify.com/v1/audio-analysis/7Chqf4yGnQlLWAWic9b0ET,267987,4
898,Venice,The Family Tree,0.34,0.104,3,-15.767,1,0.0336,0.811,0.0,0.0998,0.257,127.236,audio_features,5qxfB3e5ZjHYoNcMxPR2J7,spotify:track:5qxfB3e5ZjHYoNcMxPR2J7,https://api.spotify.com/v1/tracks/5qxfB3e5ZjHYoNcMxPR2J7,https://api.spotify.com/v1/audio-analysis/5qxfB3e5ZjHYoNcMxPR2J7,205133,4
